X,Y,FID,Index_,DISTRICT,CountyNum,COUNTY,Name,Location,InMobileWe,PHONE_NMBR,FeatureTyp,AccessType,O_PUBLIC,FEE,PARKING,PUBTRANSP,RSTRCTNS,DSABLDACSS,RESTROOMS,VISTOR_CTR,DOG_FRIEND,EZ4STROLLE,LIFEGUARD,SHOWERS,FOOD,DRINKWTR,PCNC_AREA,FIREPITS,CAMPGROUND,NUM_REG_CP,NUM_PRM_CP,NUM_GRP_CP,RV_CMP,NUM_RV_STE,HOSTEL,NUM_HSL_BD,NUM_HTL_RM,BT_FACILIT,BT_FACIL_T,MRA_NM_SLP,MRA_NUM_MR,LIGHTHOUSE,LTHS_Y_CON,LTHS_HT,PIER,PIER_Y_CON,PIER_LNGTH,HSTRC_STR,SHPWRECKS,SNDY_BEACH,DUNES,RKY_SHORE,UPLAND_BCH,STRM_CRDOR,WETLAND,BLUFF,BAY_LGN_LK,URBN_WFRNT,OFFSHR_RFG,INLND_AREA,STRS_BEACH,PTH_BEACH,BOARDWLK,BLFTP_TRLS,BLFTP_PRK,TRAIL_OR_P,CCT_LINK,CCTdesigna,BIKE_PATH,EQUEST_TRL,WLDLFE_VWG,SWM_POOL,SWIMMING,DIVING,SNORKLNG,TIDEPOOL,PLAYGROUND,SPORT_FLDS,VOLLEYBALL,WNDSRF_KIT,KAYAKING,SURFING,FISHING,BOATING,BOAT_TOURS,MBCH_SHORE,MBCH_OPEN,A_LND_AC,A_LND_OPEN,SQ_MILES,MILES_TRLS,PermitNum,DATE_OPN,Date_Closd,Archived,ClosureCom,SWAG_CRnmb,O_CLT_AREA,LATITUDE,LONGITUDE,Photo_1,Photo_2,Photo_3,Photo_4,Bch_whlchr,DataUpdate
406960.6839,4633984.8063,11,11,1_North Coast,1,Del Norte,Ruby Van Deventer County Park,"North Bank Rd. (Hwy. 197), 2.5 mi. E. of Hwy. 101",Yes,707-464-7230,City/County Park,Campground,Yes,Yes,Yes, , ,No,Yes,No,Yes, ,No,Yes, ,Yes,Yes,Yes,Yes,18, , , , , , , , , , , , , , , , , ,No, ,No,No,No,No,Yes,No,No, , , ,Yes,No,No, , , ,No, , ,No,No,Yes, ,Yes, , , , , , , ,Yes, ,Yes,Yes, , , , , , , , , , , , ,8, ,41.852301,-124.120828, , , , , ,
404394.5252,4628797.2896,12,12,1_North Coast,1,Del Norte,Florence Keller County Park,"Cunningham Ln., off Elk Valley Cross Rd., W. of Hwy. 101, 3 mi. N. of Crescent City",Yes,707-464-7230,City/County Park,Campground,Yes,Yes,Yes, , ,Yes,Yes,No,Yes,Yes,No,Yes, ,Yes,Yes,Yes,Yes,50, , ,Yes, , , , , , , , , , , , , , ,No, ,No,No,No,No,No,No,No, , , ,Yes,No,No, , , ,Yes, , ,No,No,No, , , , , , , , , , , ,No,No, , , , , , , , , , , , ,9, ,41.805281,-124.150899, , , , , ,
409849.0952,4627648.4141,13,13,1_North Coast,1,Del Norte,Jedediah Smith Redwoods State Park,"Hwy. 199, 5 mi. E. of Hwy. 101",Yes,707-465-7335,National/State/Regional Park/Beach/Rec Area,Boat Access,Yes,Yes,Yes, ,TRAILS CLOSED TO BICYCLES,Yes,Yes,Yes, ,Yes,No,Yes, ,Yes,Yes,Yes,Yes,89, , ,Yes, , , , , , , , , , , , , , ,No, ,No,No,No,No,Yes,No,No, , , ,Yes,No,No, , , ,Yes, , ,No,No,Yes, , , , , , , , , , , ,Yes,Yes, , , ,100000,100000, ,20, , , , , ,10, ,41.795574,-124.085074,https://www.coastal.ca.gov/access-photos/02_del_norte/03_smith_river_area/Jed_Smith_SP_2013_07_02_5011.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/03_smith_river_area/Jedediah_Smith_Redwoods_State_Park_SFS_2013_07_02_5028.jpg, , , ,
419527.4467,4633161.1507,14,14,1_North Coast,1,Del Norte,Smith River National Recreation Area,"Hwy. 199, 14 mi. E of Hwy. 101",Yes,707-457-3131,National/State/Regional Park/Beach/Rec Area,Boat Access,Yes,Yes,Yes, , ,Yes,Yes,Yes,Yes, ,No,Yes, , , ,Yes,Yes, , , , , , , , , , , , , , , , , , , , ,No,No,No,No,Yes,No,No, , , ,Yes,No,No, , , ,Yes, , ,Yes,?,Yes, , , , , , , , , , , ,Yes,Yes, , , , , , ,65, , , , , ,11, ,41.846261,-123.969349, , , , , ,
399960.3828,4623281.271,15,15,1_North Coast,1,Del Norte,Crescent City,"Hwy. 101, 79 mi. N. of Eureka",No, ,GP - Town/City,CITY/TOWN,Yes,No,Yes, , ,Yes,Yes,Yes, , , , ,Yes,Yes,Yes,No,No, , , , , , , , , , , , , , , , , , ,Yes, ,Yes, ,Yes,Yes, , , ,Yes,Yes, , , , , , , ,Yes, , ,Yes, ,Yes, , , , , , , , , , , ,Yes,Yes, , , , , , , , , , , , , ,Yes,41.755062,-124.203337, , , , , ,
396204.2986,4624029.976,16,16,1_North Coast,1,Del Norte,Castle Rock,"Offshore, W. of Pebble Beach Dr., N. of Pacific Avenue",No, ,GP - MPA,Visual Access,No,No,No, ,300 ft closure zone around island,No,No,No, , ,No,No, , , ,No,No, , , , , , , , , , , , , , , , , , ,No, ,No,No,Yes,No,No,No,No, , ,Yes, ,No,No, , , ,No, , ,No,No,Yes, , , , , , , , , , , ,No,No, , , , , , , , , , ,Yes,300 ft closure zone around island,12.5, ,41.761322,-124.248638, , , , , ,
396651.8782,4625260.9286,17,17,1_North Coast,1,Del Norte,Garth's Beach,"Radio Rd., 0.3 mi. N.W. of Washington Blvd./Pebble Beach Dr. intersection, Crescent City",Yes, ,Physical Access,Beach Access,Yes,No,Yes, , ,No,No,No,Yes, ,No,No, , , ,No,No, , , , , , , , , , , , , , , , , , ,No, ,Yes,No,Yes,No,No,No,Yes, , , , ,Yes,Yes, ,Yes, ,Yes, , ,Yes,No,Yes, , , , ,Yes, , , , , , ,Yes,No, , , , , , , , , , , , ,12, ,41.772465,-124.243469,https://www.coastal.ca.gov/access-photos/02_del_norte/04_crescent_city/Garths_Beach_SFS_2004_07_06_0052.JPG, , , , ,
398525.9051,4623410.0873,18,18,1_North Coast,1,Del Norte,Pebble Beach Access,"Pebble Beach Dr. near Pacific Ave., Crescent City",Yes, ,Physical Access,Beach Access,Yes,No,Yes, , ,No,No,No,Yes, ,No,No, , ,Yes,No,No, , , , , , , , , , , , , , , , , , ,Yes, ,Yes,No,Yes,No,No,No,Yes, , , , ,Yes,Yes, , ,Yes,Yes,Yes, ,Yes,No,Yes, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,13,Yes,41.75604,-124.22061, , , , , ,
398902.0887,4622863.2837,19,19,1_North Coast,1,Del Norte,Preston Island,"Pebble Beach Dr. and Condor St., Crescent City",Yes, ,Physical Access,Beach Access,Yes,No,Yes, , ,No,No,No,Yes, ,No,No, , ,Yes,Yes,No, , , , , , , , , , , , , , , , , , ,No, ,No,No,Yes,No,No,No,Yes, , , , ,No,Yes, , , ,No, , ,No,No,Yes, , , , ,Yes, , , , , , ,Yes,No, , , , , , , , , , , , ,14, ,41.751164,-124.215993, , , , , ,
399262.0001,4622810.3435,20,20,1_North Coast,1,Del Norte,Brother Jonathan Park / Vista Point,"Pebble Beach Dr. and 9th St., Crescent City",Yes, ,City/County Park,Park,Yes,No,Yes, , ,Yes,Yes,No,Yes,Yes,No,No, , ,Yes,No,No, , , , , , , , , , , , , , , , , , ,No,Yes,No,No,Yes,Yes,No,No,Yes, , , , ,No,No, , ,Yes,Yes, , ,Yes,No,Yes, , , , , ,Yes,Yes, , , , ,No,No, , , , , , , , , , , , ,15,Yes,41.750733,-124.211656,https://www.coastal.ca.gov/access-photos/02_del_norte/04_crescent_city/Brother_Jonathan_Vista_Pt_2004_07_06_0003b.jpg, , , , ,
399545.9427,4622682.8639,21,21,1_North Coast,1,Del Norte,Sixth Street Accessway,"W. end of 6th St., Crescent City",Yes, ,Physical Access,Beach Access,Yes,No,No, , ,No,No,No,Yes, ,No,No, , , ,No,No, , , , , , , , , , , , , , , , , , ,No, ,No,No,Yes,No,No,No,Yes, , , , ,Yes,Yes, , , ,No, , ,No,No,Yes, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,16.1, ,41.749621,-124.20822, , , , , ,
399610.6787,4622632.2052,22,22,1_North Coast,1,Del Norte,Fifth Street Accessway,"W. end of 5th St., Crescent City",Yes, ,Path/Trail/Drive,Beach Access,Yes,No,Yes, , ,No,No,No,Yes, ,No,No, , , ,No,No, , , , , , , , , , , , , , , , , , ,No, ,No,No,Yes,No,No,No,Yes, , , , ,Yes,Yes, , , ,No, , ,No,No,Yes, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,16.2, ,41.749173,-124.207433, , , , , ,
399773.2424,4622500.554,23,23,1_North Coast,1,Del Norte,Third Street Accessway,"W. end of 3rd St., Crescent City",Yes, ,Path/Trail/Drive,Beach Access,Yes,No,Yes, , ,No,No,No,Yes, ,No,No, , , ,No,No, , , , , , , , , , , , , , , , , , ,No, ,No,No,Yes,No,No,No,Yes, , , , ,Yes,Yes, , , ,No, , ,No,No,Yes, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,16.3, ,41.748008,-124.205456, , , , , ,
399971.3434,4622406.055,24,24,1_North Coast,1,Del Norte,Path at Oceanfront Lodge,"Front and ""A"" Streets, Crescent City",Yes, ,Physical Access,Beach Access,Yes,No,Yes, , ,No,No,No,Yes, ,No,No, , , ,No,No, , , , , , , , , , , , , , , , , , ,No, ,No,No,Yes,No,No,No,No, , , , ,No,Yes, , , ,Yes, , ,No,No,Yes, , , , , , , , , , , ,No,No, , , , , , , ,A-1-CRC-00-033, , , , ,17, ,41.747182,-124.203058,https://www.coastal.ca.gov/access-photos/02_del_norte/04_crescent_city/Oceanfront_Lodge_path_2004_07_06_0002.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/04_crescent_city/Path_at_Oceanfront_Lodge_SFS_2013_07_01_4953.jpg, , , ,
399963.6742,4622059.8022,25,25,1_North Coast,1,Del Norte,Crescent Lighthouse at Battery Point,"S. end of ""A"" St., Crescent City",Yes,707-464-3089,Architectural Feature,Lighthouse,Yes,Yes,Yes, , ,No,Yes,Yes, , ,No,No, , ,Yes,No,No, , , , , , , , , , , , ,Yes,1856, , , , ,Yes, ,No,No,Yes,No,No,No,Yes, , , , ,No,Yes, , ,Yes,No, , ,No,No,Yes, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,18,Yes,41.744063,-124.203092,https://www.coastal.ca.gov/access-photos/02_del_norte/05_crescent_city_harbor/Crescent_Lighthouse_2013_07_01_4853.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/05_crescent_city_harbor/Crescent_Lighthouse_2013_07_01_4977.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/05_crescent_city_harbor/Crescent_Lighthouse_info_2013_07_02_4993.jpg, , ,
400319.0461,4622471.6062,26,26,1_North Coast,1,Del Norte,Northcoast Marine Mammal Center,"424 Howe Dr., Beach Front Park, Crescent City",Yes,707-465-6265,Facility,Historic/Cultural Site,Yes,No,Yes, , ,No,Yes,Yes, , ,No,No, , , ,No,No, , , , , , , , , , , , , , , , , , ,No, ,No,No,No,No,No,No,No, , , ,Yes,No,No, , , ,No, , ,No,No,Yes, , , , , , , , , , , ,No,No, , , , , , , , , , , , ,19,Yes,41.747816,-124.198888, , , , , ,
400420.2622,4622012.1225,27,27,1_North Coast,1,Del Norte,B Street Pier,"Foot of B St., Crescent City",Yes, ,Physical Access,Pier,Yes,No,Yes, , ,Yes,Yes,No, ,Yes,No,No, , , ,No,No, , , , , , , , , , , , , , , ,Yes, ,900 ft.,No, ,No,No,No,No,No,No,No,Yes,Yes, , ,No,No, , , ,No, , ,No,No,Yes, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,20,Yes,41.743691,-124.197594, , , , , ,
400511.9477,4622546.8766,28,28,1_North Coast,1,Del Norte,Beach Front Park,"Between Front St. and Howe Dr., Crescent City",Yes, ,City/County Park,Park,Yes,No,Yes, , ,Yes,Yes,No,Yes,Yes,No,No, , ,Yes,Yes,No, , , , , , , , , , , , , , , , , , ,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes, , ,No,Yes, , , ,Yes, , ,Yes,No,Yes,Yes,Yes, , , ,Yes,Yes, , , , ,Yes,No, , , , , , , , , , , , ,21,Yes,41.748518,-124.196581, , , , , ,
400928.0621,4622911.4467,29,29,1_North Coast,1,Del Norte,Shoreline Campground,"W. of Sunset Circle Dr., Crescent City",Yes,707-464-2473,Recreational Facility,Campground,Yes,Yes,Yes, , ,Yes,Yes,No, , ,No,Yes, , ,Yes,Yes,Yes, , , ,Yes,189, , , , , , , , , , , , , ,No, ,Yes,No,No,Yes,Yes,No,No,Yes,No, , ,No,Yes, , , ,Yes, , ,No,No,No, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,23.1, ,41.751853,-124.191638, , , , , ,
400926.9083,4622948.2196,30,30,1_North Coast,1,Del Norte,Crescent City Coastal Trail,"Pt. St. George to Crescent City Harbor, Crescent City",Yes, ,Path/Trail/Drive,Natural Resource,Yes,No,Yes, , ,Yes,Yes, , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Yes,No, , , , ,Yes,Yes, ,Yes, , , , , , , , , , , , , ,No,No, , , , , , ,6, , , , , ,23, ,41.752184,-124.191658, , , , , ,
401246.9739,4622128.8128,31,31,1_North Coast,1,Del Norte,Crescent City Harbor,"W. of Hwy. 101 and Citizens Dock Rd., Crescent City",Yes,707-464-6174,Waterfront Features,Boat Access,Yes,No,Yes, , ,Yes,Yes,No, , ,No,Yes,Yes,Yes,Yes,No,Yes, , , ,Yes, , , , ,Yes,"Marina, Moorings, Boat Ramp, Hoist",Yes,Yes, , , ,Yes,1950, ,No, ,No,No,No,Yes,No,No,No,Yes,Yes, , ,No,Yes, , , ,Yes, , ,Yes,No,Yes, , , , , , , , , , , ,Yes,Yes,Yes, , , , , , , , , , , ,24, ,41.744845,-124.187673, , , , , ,
401669.7117,4621814.722,32,32,1_North Coast,1,Del Norte,Crescent City Harbor Boat Launch,"Anchor Way, Crescent City Harbor",Yes,707-464-6174,Waterfront Features,Boat Access,Yes,Yes,Yes, , , , ,No, , , , , , , ,No,No, , , , , , , , ,Yes, , , ,No, , , , , ,No, ,No,No,No,No,No,No,No,Yes,No, , ,No,No,No,No,No,No, , ,No,No,No,No,No,No,No,No,No,No,No,No, ,No, ,Yes, , , , , , , , , , , , , , ,41.742069,-124.182538, , , , , ,
410933.7972,4597036.0667,33,33,1_North Coast,1,Del Norte,Redwood National Park (Del Norte),"Off Hwy. 101, N. of Orick",Yes,707-465-7335,GP - National/State/Regional Park/Beach/Rec area,Natural Resource,Yes,No,Yes, , ,Yes,Yes,Yes, , ,No,No, , ,Yes,Yes,Yes, , , , , , , , , , , , , , , , , , ,No, ,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No,Yes, , , ,Yes, , ,No,Yes,No, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,22.1, ,41.520013,-124.067458,https://www.coastal.ca.gov/access-photos/03_humboldt/02_northern_humboldt_co/Redwood_Natl_Park_Humboldt_SFS_2013_07_01_4761.jpg,https://www.coastal.ca.gov/access-photos/03_humboldt/02_northern_humboldt_co/Redwood_Natl_Park_Humboldt_SFS_2013_07_02_5091.jpg, , , ,
400697.7968,4623036.904,34,34,1_North Coast,1,Del Norte,Redwood National & State Parks Information Center,"1111 2nd St., Crescent City",Yes,707-465-7306,Facility,Natural Resource,Yes,No,Yes, , ,Yes,Yes,Yes, ,Yes,No,No,No, ,No,No,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,No,No, , , , , , , , , , , , ,22, ,41.752954,-124.194428, , , , , ,
402783.8169,4621904.8811,35,35,1_North Coast,1,Del Norte,Crescent Beach (Crescent City),"W. of Hwy. 101, 1 mi. S. of Crescent City",Yes, ,Physical Access,Beach Access,Yes,No,Yes, , ,Yes,Yes,No,Yes, ,No,No, , ,Yes,Yes,No, , , , , , , , , , , , , , , , , , ,No, ,Yes,No,No,No,No,No,No, , , , ,No,No, , , ,No, , ,No,Yes,No, , , , , , , , , , ,Yes,Yes,No, , , , , , , , , , , , ,25, ,41.743018,-124.169157,https://www.coastal.ca.gov/access-photos/02_del_norte/06_crescent_beach_to_lagoon_creek/Crescent_Beach_2013_07_02_5062.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/06_crescent_beach_to_lagoon_creek/Crescent_Beach_Overlook_trailhead_for_Last_Chance_section_of_Cal_Coastal_Trail_2013_07_02_5065.jpg, , , ,
404188.9216,4620152.7176,36,36,1_North Coast,1,Del Norte,Crescent Beach Picnic Areas,"Enderts Beach Rd., .5 mi. S. of Hwy. 101",Yes, ,Physical Access,Beach Access,Yes,No,Yes, , ,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No, , , , , , , , , , , , , , , , , , ,No, ,Yes,No,No,Yes,No,No,Yes, , , , ,No,Yes, , , ,Yes, , ,No,No,No, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,26, ,41.72741,-124.15198, , , , , ,
404927.8938,4617747.9471,37,37,1_North Coast,1,Del Norte,Crescent Beach Overlook,"S. end of Enderts Beach Rd., S. of Crescent City",Yes, ,Visual Access,Visual Access,Yes,No,Yes, , , , ,No, , , ,No,No, , ,No,No, , , , , , , , , , , , , , , , , , ,No, ,No,No,No,Yes, , ,Yes, , , , ,No, , ,Yes, ,Yes, , ,No, , ,No,No,No,No, ,No,No, ,No,No, ,No,No, , , , , , , , , , , , , , ,41.705843,-124.142713, , , , , ,
405072.6136,4617189.6918,38,38,1_North Coast,1,Del Norte,Nickel Creek Campground,.5 mi. S. of end of Enderts Beach Rd.,Yes,707-465-7335,Recreational Facility,Campground,Yes,No,Yes, , ,No,Yes,No, , ,No,No, , ,Yes,Yes,Yes, ,5, , , , , , , , , , , , , , , , ,No, ,No,No,No,Yes,Yes,No,No, , , ,Yes,No,No, , , ,Yes, , ,No,No,No, , , , , , , , , , , ,No,No, , , , , , , , , , , , ,27, ,41.700833,-124.140885, , , , , ,
